,Food,Measure,Grams,Calories,Protein,Carb,Fiber,Fat,Sat_fat,Product Type
364,"Cashews, unsalted",1/2 cup,70,392,12,20,0.9,32,28,Nuts and seeds
365,"Coconut, shredded,",,,,,,,,,Nuts and seeds
366,sweetened,1/2 cup,50,274,1,26,2,20,19,Nuts and seeds
367,"Peanut butter, commercial",1/3 cup,50,300,12,9,0.9,25,17,Nuts and seeds
368,"Peanut butter, natural",1/3 cup,50,284,13,8,0.9,24,10,Nuts and seeds
369,"Peanuts, roasted",1/3 cup,50,290,13,9,1.2,25,16,Nuts and seeds
370,"Pecans, raw, halves",1/2 cup,52,343,5,7,1.1,35,25,Nuts and seeds
371,"Sesame seeds, dry",1/2 cup,50,280,9,10,3.1,24,13,Nuts and seeds
372,Sunflower seeds,1/2 cup,50,280,12,10,1.9,26,7,Nuts and seeds
373,Alcoholic,,,,,,,,,Beverages
374,Beer(4% alcohol),2 cups,480,228,t,8,0,0,0,Beverages
375,"Gin,rum,vodka,whiskey(86 proof)",1 oz.,28,70,0,t,0,0,0,Beverages
376,"Wines,dessert(I 8.8% alcohol)",1/2 cup,120,164,t,9,0,0,0,Beverages
377,Table (12.2% alcohol),1/2 cup,120,100,t,5,0,0,0,Beverages
378,Carbonated drinks,,,,,,,,,Beverages
379,Artificially sweetened,12 oz.,346,0,0,0,0,0,0,Beverages
380,Club soda,12 oz.,346,0,0,0,0,0,0,Beverages
381,"Cola drinks,sweetened",12 oz.,346,137,0,38,0,0,0,Beverages
382,Fruit-flavored soda,12 oz.,346,161,0,42,0,0,0,Beverages
383,Ginger ale,12 oz.,346,105,0,28,0,0,0,Beverages
384,Root beer,12 oz.,346,140,0,35,0,0,0,Beverages
385,"Coffee, black, unsweetened",1 cup,230,3,t,1,0,0,0,Beverages
